,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
37,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.4921875,0.5345946389647063,0.610382080078125,0.0234375
53,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48828125,0.48950235470737374,0.543304443359375,0.015625
69,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48828125,0.4694445743034829,0.489776611328125,0.03125
85,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.50390625,0.4871696983451587,0.507415771484375,0.046875
101,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,max,lpips_vgg_0,0.4921875,0.5119342317612912,0.55975341796875,0.0390625
117,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,max,lpips_vgg_1,0.5234375,0.6405789960800493,0.69403076171875,0.0859375
133,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,max,lpips_vgg_2,0.4921875,0.5345946389647063,0.610382080078125,0.0234375
149,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,max,lpips_vgg_3,0.48828125,0.48950235470737374,0.543304443359375,0.015625
165,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,max,lpips_vgg_4,0.48828125,0.4694445743034829,0.489776611328125,0.03125
181,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/Midjourney/IT2I/pixiv,clean,max,lpips_vgg_5,0.50390625,0.4871696983451587,0.507415771484375,0.046875
